Date,Open,High,Low,Close,Adj Close,Volume
2019-04-24,283.480011,287.290009,282.540009,283.000000,283.000000,131900
2019-04-25,282.910004,283.920013,278.149994,280.500000,280.500000,314800
2019-04-26,280.959991,284.440002,277.399994,283.679993,283.679993,199200
2019-04-29,285.160004,285.480011,279.070007,279.809998,279.809998,289200
2019-04-30,279.799988,281.440002,275.559998,279.750000,279.750000,416000
2019-05-01,280.000000,281.989990,270.519989,270.899994,270.899994,366700
2019-05-02,270.609985,273.970001,268.250000,272.500000,272.500000,285800
2019-05-03,274.399994,280.540009,274.399994,280.250000,280.250000,161500
2019-05-06,276.529999,285.649994,275.679993,284.470001,284.470001,305700
2019-05-07,282.220001,283.609985,276.369995,278.920013,278.920013,304200
2019-05-08,279.179993,285.089996,278.420013,283.119995,283.119995,185200
2019-05-09,280.630005,289.029999,278.279999,287.209991,287.209991,342100
2019-05-10,285.130005,288.309998,279.230011,287.329987,287.329987,140200
2019-05-13,280.929993,282.829987,272.250000,273.070007,273.070007,272900
2019-05-14,274.250000,284.670013,274.250000,282.359985,282.359985,173400
2019-05-15,278.510010,287.519989,278.390015,287.299988,287.299988,166800
2019-05-16,288.279999,296.489990,288.279999,294.250000,294.250000,195100
2019-05-17,290.540009,295.380005,290.540009,291.850006,291.850006,147900
2019-05-20,288.640015,292.260010,285.000000,290.160004,290.160004,188700
2019-05-21,294.010010,296.489990,292.779999,293.450012,293.450012,164200
2019-05-22,292.760010,298.769989,292.760010,296.910004,296.910004,132700
2019-05-23,294.089996,296.010010,290.709991,294.320007,294.320007,127500
2019-05-24,296.119995,298.000000,294.230011,295.730011,295.730011,120100
2019-05-28,297.890015,302.880005,296.640015,299.140015,299.140015,212700
2019-05-29,297.170013,297.910004,293.130005,295.880005,295.880005,296400
2019-05-30,295.600006,298.910004,295.230011,297.559998,297.559998,138700
2019-05-31,294.649994,297.390015,292.920013,295.899994,295.899994,250200
2019-06-03,295.899994,297.450012,285.769989,287.559998,287.559998,248300
2019-06-04,291.350006,297.420013,288.529999,297.390015,297.390015,339000
2019-06-05,300.000000,303.720001,298.690002,302.000000,302.000000,310300
2019-06-06,301.809998,313.510010,299.359985,312.170013,312.170013,402300
2019-06-07,314.250000,316.250000,311.109985,313.149994,313.149994,372200
2019-06-10,316.010010,320.399994,313.820007,315.239990,315.239990,203400
2019-06-11,317.970001,317.970001,308.089996,309.910004,309.910004,208400
2019-06-12,308.109985,312.220001,304.750000,311.480011,311.480011,228700
2019-06-13,313.239990,314.869995,310.070007,311.670013,311.670013,111800
2019-06-14,311.769989,311.869995,305.720001,306.200012,306.200012,142600
2019-06-17,306.690002,309.790009,305.339996,305.950012,305.950012,165900
2019-06-18,309.279999,309.989990,305.239990,306.109985,306.109985,184000
2019-06-19,306.570007,306.570007,300.619995,305.660004,305.660004,347900
2019-06-20,310.399994,312.160004,302.790009,305.920013,305.920013,326000
2019-06-21,304.369995,306.750000,301.950012,304.579987,304.579987,280800
2019-06-24,306.380005,306.429993,300.660004,300.739990,300.739990,133400
2019-06-25,300.000000,301.329987,294.059998,294.890015,294.890015,204300
2019-06-26,296.130005,300.390015,296.130005,297.880005,297.880005,202600
2019-06-27,299.359985,302.929993,297.799988,302.100006,302.100006,180200
2019-06-28,303.000000,314.130005,303.000000,314.019989,314.019989,374700
2019-07-01,318.700012,318.809998,310.010010,316.739990,316.739990,204100
2019-07-02,316.690002,323.940002,315.709991,323.570007,323.570007,190000
2019-07-03,324.820007,331.540009,324.700012,331.399994,331.399994,170300
2019-07-05,330.029999,332.589996,326.200012,332.429993,332.429993,172100
2019-07-08,331.619995,335.079987,330.970001,334.600006,334.600006,225500
2019-07-09,332.299988,339.010010,332.100006,338.100006,338.100006,304700
2019-07-10,340.470001,341.829987,337.130005,340.809998,340.809998,199800
2019-07-11,342.989990,346.390015,339.869995,345.739990,345.739990,241300
2019-07-12,345.440002,346.980011,344.010010,344.429993,344.429993,198800
2019-07-15,344.179993,345.920013,341.380005,344.640015,344.640015,302200
2019-07-16,344.519989,345.559998,338.980011,339.000000,339.000000,159100
2019-07-17,338.929993,343.739990,338.929993,341.489990,341.489990,192200
2019-07-18,341.489990,345.880005,339.209991,345.279999,345.279999,149100
2019-07-19,345.000000,345.720001,339.040009,340.630005,340.630005,188700
2019-07-22,341.640015,346.000000,340.079987,342.500000,342.500000,118400
2019-07-23,343.649994,343.649994,336.170013,338.089996,338.089996,208700
2019-07-24,337.380005,345.779999,335.040009,344.880005,344.880005,139000
2019-07-25,344.880005,346.070007,340.970001,345.739990,345.739990,113600
2019-07-26,347.589996,354.200012,347.170013,352.670013,352.670013,149700
2019-07-29,352.730011,354.420013,347.510010,350.190002,350.190002,187200
2019-07-30,347.390015,351.970001,346.690002,349.880005,349.880005,114000
2019-07-31,350.679993,352.779999,344.559998,347.420013,347.420013,286300
2019-08-01,358.209991,371.809998,355.730011,359.809998,359.809998,422300
2019-08-02,358.670013,358.760010,345.329987,352.299988,352.299988,241300
2019-08-05,345.570007,345.570007,335.299988,338.649994,338.649994,295000
2019-08-06,343.019989,348.000000,342.049988,344.540009,344.540009,222100
2019-08-07,341.640015,351.940002,340.010010,350.809998,350.809998,308400
2019-08-08,355.890015,368.480011,354.200012,368.170013,368.170013,258200
2019-08-09,366.279999,369.230011,360.649994,365.160004,365.160004,148600
2019-08-12,362.529999,364.799988,355.019989,357.899994,357.899994,133500
2019-08-13,356.570007,362.750000,335.850006,337.329987,337.329987,851800
2019-08-14,331.619995,333.950012,324.209991,326.929993,326.929993,545600
2019-08-15,327.769989,342.529999,327.540009,340.980011,340.980011,248200
2019-08-16,344.209991,350.730011,327.540009,350.119995,350.119995,220200
2019-08-19,351.970001,353.459991,344.820007,345.470001,345.470001,226800
2019-08-20,345.299988,353.019989,342.950012,346.399994,346.399994,183900
2019-08-21,349.649994,352.070007,346.019989,349.679993,349.679993,160500
2019-08-22,351.760010,354.329987,347.779999,352.540009,352.540009,136100
2019-08-23,352.359985,356.779999,345.399994,346.190002,346.190002,210400
2019-08-26,350.000000,350.579987,343.630005,350.369995,350.369995,129100
2019-08-27,353.950012,356.540009,347.700012,353.350006,353.350006,178600
2019-08-28,352.029999,352.029999,345.190002,346.359985,346.359985,251100
2019-08-29,352.019989,354.500000,346.170013,354.179993,354.179993,220000
2019-08-30,356.279999,356.929993,347.820007,352.720001,352.720001,155700
2019-09-03,350.890015,354.299988,349.369995,352.000000,352.000000,258000
2019-09-04,355.209991,359.470001,353.010010,355.500000,355.500000,251300
2019-09-05,359.000000,365.380005,356.609985,364.820007,364.820007,251200
2019-09-06,365.920013,373.239990,365.920013,369.399994,369.399994,332400
2019-09-09,370.019989,370.019989,344.739990,349.260010,349.260010,383800
2019-09-10,344.420013,344.450012,318.809998,326.200012,326.200012,785800
2019-09-11,324.420013,326.350006,313.269989,313.929993,313.929993,594200
2019-09-12,314.519989,319.079987,312.170013,313.260010,313.260010,341600
2019-09-13,312.640015,314.049988,305.660004,309.339996,309.339996,311900
2019-09-16,306.540009,311.779999,306.350006,309.910004,309.910004,162800
2019-09-17,310.279999,320.299988,310.279999,319.459991,319.459991,200400
2019-09-18,318.970001,321.010010,310.140015,314.899994,314.899994,153100
2019-09-19,316.410004,322.440002,314.269989,320.989990,320.989990,158300
2019-09-20,322.739990,323.640015,310.279999,312.239990,312.239990,447300
2019-09-23,312.239990,319.470001,310.720001,316.510010,316.510010,191200
2019-09-24,318.540009,321.859985,312.160004,313.279999,313.279999,187000
2019-09-25,313.500000,315.000000,305.769989,313.459991,313.459991,367800
2019-09-26,314.000000,320.829987,313.399994,317.589996,317.589996,198200
2019-09-27,318.640015,318.640015,296.239990,298.980011,298.980011,331200
2019-09-30,300.000000,304.950012,299.230011,303.519989,303.519989,255000
2019-10-01,303.250000,305.640015,298.739990,303.279999,303.279999,255400
2019-10-02,301.920013,302.260010,296.200012,301.079987,301.079987,224400
2019-10-03,301.649994,304.709991,297.149994,303.829987,303.829987,344500
2019-10-04,307.140015,310.609985,306.579987,309.950012,309.950012,306200
2019-10-07,308.019989,312.140015,307.500000,310.309998,310.309998,273100
2019-10-08,307.739990,307.920013,297.779999,300.720001,300.720001,203800
2019-10-09,303.739990,309.649994,302.000000,307.989990,307.989990,107500
2019-10-10,307.890015,308.230011,304.880005,305.500000,305.500000,122400
2019-10-11,308.970001,312.859985,307.950012,309.220001,309.220001,192500
2019-10-14,308.519989,312.429993,308.130005,310.570007,310.570007,120900
2019-10-15,313.000000,315.489990,311.500000,313.369995,313.369995,165000
2019-10-16,310.600006,311.029999,302.179993,310.500000,310.500000,370700
2019-10-17,312.720001,314.049988,309.630005,311.980011,311.980011,257700
2019-10-18,311.980011,312.170013,297.420013,301.859985,301.859985,297300
2019-10-21,303.170013,304.140015,295.440002,298.000000,298.000000,316900
2019-10-22,299.399994,301.200012,288.250000,289.019989,289.019989,301800
2019-10-23,289.019989,292.799988,281.559998,286.040009,286.040009,370600
2019-10-24,290.070007,301.559998,287.869995,299.579987,299.579987,298800
2019-10-25,297.200012,299.989990,294.450012,299.279999,299.279999,128000
2019-10-28,301.809998,303.480011,299.000000,301.850006,301.850006,127100
2019-10-29,301.940002,306.700012,301.029999,301.850006,301.850006,145400
2019-10-30,302.859985,302.859985,295.369995,302.239990,302.239990,301600
2019-10-31,302.959991,305.399994,298.700012,304.040009,304.040009,225500
2019-11-01,306.320007,310.260010,305.519989,309.119995,309.119995,242800
2019-11-04,310.029999,311.130005,298.630005,300.820007,300.820007,402800
2019-11-05,319.630005,338.829987,319.630005,331.369995,331.369995,743600
2019-11-06,329.350006,333.079987,320.839996,329.929993,329.929993,491200
2019-11-07,330.980011,335.950012,327.220001,328.779999,328.779999,199500
2019-11-08,327.390015,332.359985,322.709991,331.589996,331.589996,194300
2019-11-11,329.079987,339.329987,327.119995,336.109985,336.109985,178000
2019-11-12,334.470001,336.649994,329.209991,334.420013,334.420013,214700
2019-11-13,329.869995,340.230011,329.869995,338.029999,338.029999,200500
2019-11-14,337.059998,344.000000,335.029999,342.820007,342.820007,207000
2019-11-15,344.390015,348.640015,341.619995,348.109985,348.109985,178900
2019-11-18,347.559998,356.109985,347.040009,354.250000,354.250000,263600
2019-11-19,355.549988,359.269989,353.829987,357.000000,357.000000,204100
2019-11-20,357.239990,361.359985,353.119995,355.619995,355.619995,229500
2019-11-21,357.149994,360.779999,353.820007,355.359985,355.359985,179700
2019-11-22,356.329987,359.769989,352.429993,355.690002,355.690002,126100
2019-11-25,359.000000,365.679993,357.869995,365.320007,365.320007,259700
2019-11-26,365.739990,369.679993,365.739990,368.980011,368.980011,168300
2019-11-27,370.000000,370.559998,367.070007,369.290009,369.290009,150900
2019-11-29,368.170013,370.309998,365.619995,367.750000,367.750000,74600
2019-12-02,367.980011,367.980011,356.970001,359.920013,359.920013,246300
2019-12-03,355.079987,360.019989,352.929993,357.739990,357.739990,225300
2019-12-04,357.760010,363.799988,357.760010,361.890015,361.890015,215800
2019-12-05,364.519989,366.350006,359.220001,360.970001,360.970001,188500
2019-12-06,363.609985,366.679993,363.160004,363.829987,363.829987,173500
2019-12-09,362.260010,363.440002,357.709991,357.709991,357.709991,151900
2019-12-10,357.390015,359.059998,353.660004,354.179993,354.179993,146300
2019-12-11,353.220001,355.829987,346.940002,354.500000,354.500000,161600
2019-12-12,352.589996,355.489990,345.779999,352.829987,352.829987,173700
2019-12-13,351.739990,357.269989,351.739990,356.880005,356.880005,164100
2019-12-16,357.339996,365.690002,357.209991,362.279999,362.279999,169600
2019-12-17,364.250000,365.380005,360.140015,364.119995,364.119995,192100
2019-12-18,363.720001,366.839996,363.040009,365.769989,365.769989,153300
2019-12-19,365.329987,371.239990,363.450012,368.200012,368.200012,150800
2019-12-20,369.029999,374.049988,368.980011,373.540009,373.540009,300600
2019-12-23,373.540009,377.309998,372.040009,376.059998,376.059998,171400
2019-12-24,376.399994,377.279999,374.570007,375.700012,375.700012,76300
2019-12-26,376.529999,379.880005,375.089996,379.350006,379.350006,116100
2019-12-27,380.000000,380.489990,376.170013,378.799988,378.799988,121300
2019-12-30,378.209991,378.420013,372.029999,374.420013,374.420013,208100
2019-12-31,373.359985,376.250000,371.899994,374.679993,374.679993,195100
2020-01-02,377.000000,383.170013,375.250000,382.920013,382.920013,145800
2020-01-03,378.660004,383.380005,378.660004,381.920013,381.920013,172000
2020-01-06,377.959991,384.000000,377.959991,384.000000,384.000000,247700
2020-01-07,383.010010,390.000000,381.970001,388.489990,388.489990,155700
2020-01-08,391.250000,395.500000,389.140015,391.329987,391.329987,200800
2020-01-09,396.010010,405.000000,394.910004,401.510010,401.510010,273500
2020-01-10,404.420013,408.010010,402.049988,404.010010,404.010010,327500
2020-01-13,405.049988,410.429993,405.049988,408.920013,408.920013,214400
2020-01-14,407.929993,408.799988,400.089996,402.769989,402.769989,214900
2020-01-15,404.239990,407.589996,402.160004,403.869995,403.869995,237200
2020-01-16,406.950012,408.739990,403.239990,407.839996,407.839996,159100
2020-01-17,408.540009,408.540009,402.200012,404.970001,404.970001,202200
2020-01-21,402.950012,410.709991,402.950012,407.529999,407.529999,189200
2020-01-22,410.679993,413.260010,408.089996,410.970001,410.970001,197900
2020-01-23,410.609985,418.100006,409.190002,415.079987,415.079987,184300
2020-01-24,417.670013,420.200012,407.130005,409.299988,409.299988,144000
2020-01-27,400.609985,406.390015,400.040009,403.750000,403.750000,173800
2020-01-28,404.679993,411.019989,402.299988,408.940002,408.940002,231200
2020-01-29,410.649994,413.869995,408.730011,409.350006,409.350006,195900
2020-01-30,405.859985,411.359985,403.950012,409.890015,409.890015,244900
2020-01-31,397.579987,409.609985,390.010010,402.380005,402.380005,411300
2020-02-03,405.040009,417.880005,405.040009,415.829987,415.829987,305900
2020-02-04,420.019989,426.980011,417.959991,421.579987,421.579987,352900
2020-02-05,421.679993,422.429993,405.760010,410.809998,410.809998,235000
2020-02-06,412.769989,415.000000,408.679993,413.720001,413.720001,203700
2020-02-07,413.410004,418.170013,410.679993,417.600006,417.600006,147800
2020-02-10,416.369995,421.140015,414.359985,419.720001,419.720001,232600
2020-02-11,421.000000,421.000000,410.290009,411.750000,411.750000,171800
2020-02-12,411.500000,413.869995,405.820007,410.570007,410.570007,157700
2020-02-13,409.000000,420.540009,409.000000,418.089996,418.089996,205500
2020-02-14,420.000000,425.209991,417.049988,424.579987,424.579987,142900
2020-02-18,423.959991,430.760010,419.869995,430.549988,430.549988,192300
2020-02-19,434.320007,436.690002,430.239990,431.779999,431.779999,191100
2020-02-20,430.000000,430.769989,413.309998,420.119995,420.119995,225000
2020-02-21,416.459991,416.459991,402.579987,409.480011,409.480011,300500
2020-02-24,391.279999,405.989990,391.279999,402.709991,402.709991,290600
2020-02-25,407.350006,408.970001,387.279999,390.380005,390.380005,220000
2020-02-26,390.380005,398.910004,384.529999,390.359985,390.359985,249800
2020-02-27,378.100006,389.109985,366.100006,366.100006,366.100006,456700
2020-02-28,357.850006,380.420013,351.989990,376.029999,376.029999,634300
2020-03-02,380.679993,387.179993,371.119995,387.059998,387.059998,294300
2020-03-03,388.380005,394.140015,367.149994,372.609985,372.609985,305900
2020-03-04,380.640015,392.750000,377.149994,391.570007,391.570007,239500
2020-03-05,381.929993,389.750000,377.170013,380.399994,380.399994,217400
2020-03-06,369.109985,370.890015,345.320007,357.929993,357.929993,404500
2020-03-09,330.649994,339.429993,315.239990,315.859985,315.859985,390000
2020-03-10,325.369995,336.640015,311.890015,336.559998,336.559998,450900
2020-03-11,326.839996,333.459991,306.359985,314.540009,314.540009,319300
2020-03-12,293.200012,298.690002,274.600006,279.130005,279.130005,624200
2020-03-13,294.029999,304.029999,255.699997,303.549988,303.549988,518000
2020-03-16,250.000000,294.160004,238.039993,240.679993,240.679993,842200
2020-03-17,247.270004,251.399994,212.940002,245.690002,245.690002,559400
2020-03-18,226.229996,234.330002,177.649994,212.000000,212.000000,596700
2020-03-19,210.710007,254.000000,202.250000,244.779999,244.779999,502400
2020-03-20,245.699997,265.929993,237.600006,241.429993,241.429993,516900
2020-03-23,236.820007,248.289993,219.710007,231.139999,231.139999,419400
2020-03-24,244.740005,271.290009,240.860001,269.309998,269.309998,298800
2020-03-25,269.010010,285.000000,257.019989,268.929993,268.929993,310800
2020-03-26,274.649994,306.040009,270.209991,305.000000,305.000000,272700
2020-03-27,290.480011,303.359985,280.160004,291.059998,291.059998,277600
2020-03-30,294.040009,315.230011,289.000000,313.829987,313.829987,490400
2020-03-31,313.000000,329.380005,304.010010,307.690002,307.690002,693500
2020-04-01,296.399994,306.130005,285.230011,288.820007,288.820007,436500
2020-04-02,285.440002,294.679993,276.190002,282.920013,282.920013,370800
2020-04-03,280.220001,282.309998,259.369995,263.850006,263.850006,403700
2020-04-06,272.679993,302.760010,272.679993,301.600006,301.600006,283400
2020-04-07,314.440002,317.410004,296.959991,297.589996,297.589996,193100
2020-04-08,304.029999,307.000000,299.040009,300.690002,300.690002,330900
2020-04-09,310.000000,323.230011,298.529999,301.109985,301.109985,285900
2020-04-13,301.500000,303.010010,291.709991,298.000000,298.000000,206200
2020-04-14,309.339996,315.329987,305.850006,313.179993,313.179993,268900
2020-04-15,303.059998,317.500000,303.040009,309.959991,309.959991,243800
2020-04-16,314.989990,317.880005,299.529999,301.519989,301.519989,328700
2020-04-17,309.989990,320.799988,303.959991,319.260010,319.260010,299700
2020-04-20,314.239990,320.679993,306.720001,307.339996,307.339996,149100
2020-04-21,301.170013,301.630005,287.149994,291.559998,291.559998,190300
2020-04-22,302.290009,307.630005,295.200012,303.880005,303.880005,155100
2020-04-23,303.559998,309.209991,299.940002,302.260010,302.260010,176400
